what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449344328166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449344334727
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1449344335686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449344337720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449344339666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449344339783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449344340054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1449344340071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449344344387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449344345389
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449344346941
error,log,,,"GlassFish: deploy is failing=",1449344350648
error,log,,,"cannot Deploy ejb-projetEAR",1449344350649
error,log,,,"GlassFish: deploy is failing=",1449344350667
error,log,,,"cannot Deploy ejb-projetEAR",1449344350669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449344350850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449344363200
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1449344368248
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1449344369613
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449344371555
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1449344377593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449344379960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449344380959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449344381071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449344381404
