what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449253854451
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1449253854713
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1449253854719
started,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1449253854767
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1449253854806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449253882437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449253898567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449253905941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449253914634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449253918485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449253923063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449253924421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449253926490
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449253926762
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449253926837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449253927791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449253930542
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449253931527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449253932378
